line_id,overlap_km
11,5.753443256024175
1272,5.282713135163065
1589,4.806978891425166
1449,4.451121496616335
1228,4.114748932482831
233,3.757415958090608
564,3.456883995023202
1428,3.451668479664954
2064,3.3224110074605604
1779,3.315583022289394
1246,3.224270099557897
16,3.016409396168168
1085,2.753769754009844
1858,2.7473347280072566
1241,2.6820584637542564
681,2.6169787677935497
772,2.58568582549838
1479,2.4939659613696343
159,2.4577213299648033
626,2.4077499477023894
795,2.4042633643445304
780,2.3894219982734186
2052,2.3871092885724625
2053,2.3573103256377066
1789,2.2983892780322024
904,2.272609625655307
351,2.1961486546781206
1039,2.1080741266552194
15,1.9904866303812307
1106,1.9081808984673916
1276,1.7280797416950193
165,1.6897075207352392
1159,1.6655113610323988
2044,1.6426577797815984
1922,1.5824498593441014
1929,1.502368672205281
1055,1.4154177447726324
1022,1.3960764027361445
1156,1.3384869824356758
1768,1.3342017692142445
327,1.328247479435676
2068,1.3192369136395203
1810,1.3155992027869503
1023,1.3155191732610816
2067,1.2983909328241567
1925,1.2909951379246027
662,1.2843841338158164
1721,1.2630791404320825
334,1.258493767678252
1934,1.257922239879175
104,1.191890827306653
2048,1.1860219093825848
769,1.1849744562867708
34,1.1835282211684648
1497,1.1501367653360337
532,1.1360523626271584
312,1.1081872281306633
1742,1.0859660319778663
1087,1.0478127556371117
1445,1.0385401769184452
1609,1.0128785886428244
2036,0.9828097001413136
2033,0.9556540956017222
369,0.9389537421461019
684,0.9387623312893439
1234,0.9383331144773218
1453,0.8848916213714796
360,0.8655166808130144
1160,0.8146054547642941
1269,0.8071719583430794
481,0.755929418425979
2015,0.7502735707135544
1007,0.7412159672053823
1101,0.6788442586250096
738,0.6375295212721959
30,0.6141568800532258
694,0.5969736235687777
218,0.5776211250433869
1418,0.5693650461307939
1243,0.5669700225368255
1857,0.5514318647996344
1541,0.5290015944570293
1674,0.5022429729215957
379,0.44637035827177257
211,0.4137050740600095
682,0.39908850863769046
1918,0.37672333363975097
1287,0.37137386422414564
1516,0.3542263715575328
373,0.3457371512147232
928,0.3352974224327713
562,0.32842033142091437
1298,0.3038050983232472
1927,0.30149077703798455
32,0.2971428489697279
2043,0.29366703621944257
786,0.2839544061120586
1378,0.2805517744976845
1843,0.27555808889782685
521,0.2745571530754174
1218,0.2720833734329125
9,0.2691076274681539
90,0.2490095746131021
985,0.24712727977084364
746,0.22264937552981634
1277,0.21454767305629924
546,0.20744127575311955
1972,0.19355422898959773
1338,0.19010678847266405
1868,0.15020652592873207
801,0.148234686453797
1667,0.14015622489259782
2025,0.13385383047298396
1484,0.12897739549513298
2049,0.09452034472900084
733,0.08117241687623979
2042,0.06388331472284915
1604,0.06354603735752964
593,0.06299208043052436
1371,0.043243241528487505
805,0.03903523936986432
935,0.03579761424579538
816,0.035436963496084085
1526,0.03480342892572899
2029,0.03383553712718672
1458,0.03212553819367668
204,0.028720031105327608
688,0.02827570572443795
1864,0.026553353562532862
1940,0.00789457958669288
1939,0.006897560769297858
737,0.003184031536133634
1392,0.0013747306109263002
